"IQuery Data Export","","","","","","",""
"","","","","","","",""
"Indicator selection: ER Chronic Conditions Diabetes Type II ICD10, ER Chronic Conditions Hypertension ICD10, ER Chronic Conditions Ischemic Heart Disease ICD10, ER Chronic Conditions Kidney Disease ICD10","","","","","","",""
"Area selection: Cook","","","","","","",""
"Period selection: FFY2016","","","","","","",""
"Race selection: White, Black, Unknown","","","","","","",""
"Gender selection: Male, Female","","","","","","",""
"Ethnicity selection: Non-Hispanic, Hispanic","","","","","","",""
"AgeGroup selection: 18 to 34, 35 to 54, 55 to 74, 75 plus","","","","","","",""
"Filter 1 selection: n/a","","","","","","",""
"Filter 2 selection: n/a","","","","","","",""
"Filter 3 selection: n/a","","","","","","",""
"Filter 4 selection: n/a","","","","","","",""
"","","","","","","",""
"ER Chronic Conditions Diabetes Type II ICD10","","","","","","",""
"","","","","","","",""
"Source: IDPH Discharge Data","","","","","","",""
"","","","","","","",""
"Description: Code group E11.","","","","","","",""
"","","","","","","",""
"Area","Year(s)","Race","Gender","Ethnicity","Age Range","Count","Rate"
"Illinois","FFY2016","ALL","ALL","ALL","ALL","339797","15.8"
"Cook","FFY2016","ALL","ALL","ALL","ALL","124072","16.6"
"Illinois","FFY2016","Black","Female","Non-Hispanic","18 to 34","5103","0"
"Illinois","FFY2016","Black","Male","Non-Hispanic","18 to 34","2297","0"
"Illinois","FFY2016","Unknown","Female","Non-Hispanic","18 to 34","844","0"
"Illinois","FFY2016","Unknown","Male","Non-Hispanic","18 to 34","505","0"
"Illinois","FFY2016","White","Female","Non-Hispanic","18 to 34","5732","0"
"Illinois","FFY2016","White","Male","Non-Hispanic","18 to 34","2729","0"
"Illinois","FFY2016","Black","Female","Non-Hispanic","35 to 54","18580","0"
"Illinois","FFY2016","Black","Male","Non-Hispanic","35 to 54","13096","0"
"Illinois","FFY2016","Unknown","Female","Non-Hispanic","35 to 54","3137","0"
"Illinois","FFY2016","Unknown","Male","Non-Hispanic","35 to 54","2853","0"
"Illinois","FFY2016","White","Female","Non-Hispanic","35 to 54","25966","0"
"Illinois","FFY2016","White","Male","Non-Hispanic","35 to 54","20709","0"
"Illinois","FFY2016","Black","Female","Non-Hispanic","55 to 74","22140","0"
"Illinois","FFY2016","Black","Male","Non-Hispanic","55 to 74","14528","0"
"Illinois","FFY2016","Unknown","Female","Non-Hispanic","55 to 74","4195","0"
"Illinois","FFY2016","Unknown","Male","Non-Hispanic","55 to 74","3560","0"
"Illinois","FFY2016","White","Female","Non-Hispanic","55 to 74","41899","0"
"Illinois","FFY2016","White","Male","Non-Hispanic","55 to 74","40068","0"
"Illinois","FFY2016","Black","Female","Non-Hispanic","75 plus","7904","0"
"Illinois","FFY2016","Black","Male","Non-Hispanic","75 plus","3483","0"
"Illinois","FFY2016","Unknown","Female","Non-Hispanic","75 plus","1785","0"
"Illinois","FFY2016","Unknown","Male","Non-Hispanic","75 plus","1254","0"
"Illinois","FFY2016","White","Female","Non-Hispanic","75 plus","26142","0"
"Illinois","FFY2016","White","Male","Non-Hispanic","75 plus","20561","0"
"Cook","FFY2016","Black","Female","Non-Hispanic","18 to 34","2608","5.9"
"Cook","FFY2016","Black","Male","Non-Hispanic","18 to 34","1397","4.6"
"Cook","FFY2016","Unknown","Female","Non-Hispanic","18 to 34","379","5.1"
"Cook","FFY2016","Unknown","Male","Non-Hispanic","18 to 34","282","4.5"
"Cook","FFY2016","White","Female","Non-Hispanic","18 to 34","687","3.2"
"Cook","FFY2016","White","Male","Non-Hispanic","18 to 34","471","2.6"
"Cook","FFY2016","Black","Female","Non-Hispanic","35 to 54","9834","16.8"
"Cook","FFY2016","Black","Male","Non-Hispanic","35 to 54","7343","15.6"
"Cook","FFY2016","Unknown","Female","Non-Hispanic","35 to 54","1657","17.4"
"Cook","FFY2016","Unknown","Male","Non-Hispanic","35 to 54","1481","16.6"
"Cook","FFY2016","White","Female","Non-Hispanic","35 to 54","3324","11.4"
"Cook","FFY2016","White","Male","Non-Hispanic","35 to 54","3550","12.1"
"Cook","FFY2016","Black","Female","Non-Hispanic","55 to 74","13538","29.7"
"Cook","FFY2016","Black","Male","Non-Hispanic","55 to 74","8982","24.1"
"Cook","FFY2016","Unknown","Female","Non-Hispanic","55 to 74","2287","30"
"Cook","FFY2016","Unknown","Male","Non-Hispanic","55 to 74","1965","27.5"
"Cook","FFY2016","White","Female","Non-Hispanic","55 to 74","7162","21.5"
"Cook","FFY2016","White","Male","Non-Hispanic","55 to 74","7856","23.6"
"Cook","FFY2016","Black","Female","Non-Hispanic","75 plus","5552","33.2"
"Cook","FFY2016","Black","Male","Non-Hispanic","75 plus","2332","30.5"
"Cook","FFY2016","Unknown","Female","Non-Hispanic","75 plus","975","27.2"
"Cook","FFY2016","Unknown","Male","Non-Hispanic","75 plus","591","30.2"
"Cook","FFY2016","White","Female","Non-Hispanic","75 plus","5411","18"
"Cook","FFY2016","White","Male","Non-Hispanic","75 plus","4123","23.7"
"","","","","","","",""
"Rate Type: ER Chronic Conditions All CC ICD10. Formula: .","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"ER Chronic Conditions Hypertension ICD10","","","","","","",""
"","","","","","","",""
"Source: IDPH Discharge Data","","","","","","",""
"","","","","","","",""
"Description: Code group I10 - I16.","","","","","","",""
"","","","","","","",""
"Area","Year(s)","Race","Gender","Ethnicity","Age Range","Count","Rate"
"Illinois","FFY2016","ALL","ALL","ALL","ALL","797488","37"
"Cook","FFY2016","ALL","ALL","ALL","ALL","294169","39.3"
"Illinois","FFY2016","Black","Female","Non-Hispanic","18 to 34","11671","0"
"Illinois","FFY2016","Black","Male","Non-Hispanic","18 to 34","6609","0"
"Illinois","FFY2016","Unknown","Female","Non-Hispanic","18 to 34","1245","0"
"Illinois","FFY2016","Unknown","Male","Non-Hispanic","18 to 34","1131","0"
"Illinois","FFY2016","White","Female","Non-Hispanic","18 to 34","10654","0"
"Illinois","FFY2016","White","Male","Non-Hispanic","18 to 34","9026","0"
"Illinois","FFY2016","Black","Female","Non-Hispanic","35 to 54","51558","0"
"Illinois","FFY2016","Black","Male","Non-Hispanic","35 to 54","34866","0"
"Illinois","FFY2016","Unknown","Female","Non-Hispanic","35 to 54","6556","0"
"Illinois","FFY2016","Unknown","Male","Non-Hispanic","35 to 54","5815","0"
"Illinois","FFY2016","White","Female","Non-Hispanic","35 to 54","54791","0"
"Illinois","FFY2016","White","Male","Non-Hispanic","35 to 54","52924","0"
"Illinois","FFY2016","Black","Female","Non-Hispanic","55 to 74","49999","0"
"Illinois","FFY2016","Black","Male","Non-Hispanic","55 to 74","35243","0"
"Illinois","FFY2016","Unknown","Female","Non-Hispanic","55 to 74","8477","0"
"Illinois","FFY2016","Unknown","Male","Non-Hispanic","55 to 74","7058","0"
"Illinois","FFY2016","White","Female","Non-Hispanic","55 to 74","96760","0"
"Illinois","FFY2016","White","Male","Non-Hispanic","55 to 74","89245","0"
"Illinois","FFY2016","Black","Female","Non-Hispanic","75 plus","18246","0"
"Illinois","FFY2016","Black","Male","Non-Hispanic","75 plus","8056","0"
"Illinois","FFY2016","Unknown","Female","Non-Hispanic","75 plus","5151","0"
"Illinois","FFY2016","Unknown","Male","Non-Hispanic","75 plus","2704","0"
"Illinois","FFY2016","White","Female","Non-Hispanic","75 plus","92743","0"
"Illinois","FFY2016","White","Male","Non-Hispanic","75 plus","53429","0"
"Cook","FFY2016","Black","Female","Non-Hispanic","18 to 34","5677","12.8"
"Cook","FFY2016","Black","Male","Non-Hispanic","18 to 34","3398","11.2"
"Cook","FFY2016","Unknown","Female","Non-Hispanic","18 to 34","620","8.4"
"Cook","FFY2016","Unknown","Male","Non-Hispanic","18 to 34","550","8.8"
"Cook","FFY2016","White","Female","Non-Hispanic","18 to 34","1164","5.4"
"Cook","FFY2016","White","Male","Non-Hispanic","18 to 34","1305","7.2"
"Cook","FFY2016","Black","Female","Non-Hispanic","35 to 54","27742","47.3"
"Cook","FFY2016","Black","Male","Non-Hispanic","35 to 54","19845","42"
"Cook","FFY2016","Unknown","Female","Non-Hispanic","35 to 54","3487","36.7"
"Cook","FFY2016","Unknown","Male","Non-Hispanic","35 to 54","2989","33.6"
"Cook","FFY2016","White","Female","Non-Hispanic","35 to 54","7514","25.7"
"Cook","FFY2016","White","Male","Non-Hispanic","35 to 54","9313","31.7"
"Cook","FFY2016","Black","Female","Non-Hispanic","55 to 74","32078","70.3"
"Cook","FFY2016","Black","Male","Non-Hispanic","55 to 74","22574","60.5"
"Cook","FFY2016","Unknown","Female","Non-Hispanic","55 to 74","4787","62.9"
"Cook","FFY2016","Unknown","Male","Non-Hispanic","55 to 74","3997","55.9"
